Date : 2023-05-25 13:09:54
Directory : /home/luisp/ClientProject/cineClientJWT/src
Total : 288 files,  11280 codes, 867 comments, 2250 blanks, all 14397 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        164 |      6,831 |        280 |      1,421 |      8,532 |
| HTML       |         62 |      3,369 |        494 |        578 |      4,441 |
| CSS        |         62 |      1,080 |         93 |        251 |      1,424 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/create-sesion/create-sesion.component.html                                              | HTML       |        155 |         24 |         32 |        211 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/create-sesion/create-sesion.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/create-sesion/create-sesion.component.ts                                                | TypeScript |        174 |          7 |         18 |        199 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/delete-sesion/delete-sesion.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/delete-sesion/delete-sesion.component.html                                              | HTML       |         38 |          1 |          6 |         45 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/delete-sesion/delete-sesion.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/delete-sesion/delete-sesion.component.ts                                                | TypeScript |         32 |          0 |          8 |         40 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/get-sesion/get-sesion.component.css                                                     | CSS        |         12 |          0 |          3 |         15 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/get-sesion/get-sesion.component.html                                                    | HTML       |         38 |          0 |          5 |         43 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/get-sesion/get-sesion.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/get-sesion/get-sesion.component.ts                                                      | TypeScript |         44 |          0 |          8 |         52 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/plist-sesion/plist-sesion.component.css                                                 | CSS        |         19 |          0 |          4 |         23 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/plist-sesion/plist-sesion.component.html                                                | HTML       |         74 |          1 |         18 |         93 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/plist-sesion/plist-sesion.component.spec.ts                                             | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/plist-sesion/plist-sesion.component.ts                                                  | TypeScript |        104 |         12 |         11 |        127 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/update-sesion/update-sesion.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/update-sesion/update-sesion.component.html                                              | HTML       |        169 |         25 |         34 |        228 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/update-sesion/update-sesion.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/update-sesion/update-sesion.component.ts                                                | TypeScript |        211 |         10 |         24 |        245 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/Auxiliar/select-plist/select-plist-tarifa.component.html                                | HTML       |         39 |          0 |          9 |         48 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/Auxiliar/select-plist/select-plist-tarifa.component.ts                                  | TypeScript |         83 |          1 |         18 |        102 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/Auxiliar/select-plist/select-plist.component.css                                        | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/Auxiliar/select-plist/select-plist.component.spec.ts                                    | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/create-tarifa/create-tarifa.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/create-tarifa/create-tarifa.component.html                                              | HTML       |         46 |          0 |         10 |         56 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/create-tarifa/create-tarifa.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/create-tarifa/create-tarifa.component.ts                                                | TypeScript |         70 |          1 |         13 |         84 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/delete-tarifa/delete-tarifa.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/delete-tarifa/delete-tarifa.component.html                                              | HTML       |         52 |          1 |          6 |         59 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/delete-tarifa/delete-tarifa.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/delete-tarifa/delete-tarifa.component.ts                                                | TypeScript |         51 |          0 |         11 |         62 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/get-tarifa/get-tarifa.component.css                                                     | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/get-tarifa/get-tarifa.component.html                                                    | HTML       |          1 |          0 |          1 |          2 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/get-tarifa/get-tarifa.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/get-tarifa/get-tarifa.component.ts                                                      | TypeScript |          7 |          0 |          3 |         10 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/plist-tarifa/plist-tarifa.component.css                                                 | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/plist-tarifa/plist-tarifa.component.html                                                | HTML       |         50 |          0 |         11 |         61 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/plist-tarifa/plist-tarifa.component.spec.ts                                             | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/plist-tarifa/plist-tarifa.component.ts                                                  | TypeScript |         65 |          0 |         11 |         76 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/update-tarifa/update-tarifa.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/update-tarifa/update-tarifa.component.html                                              | HTML       |         46 |          1 |          9 |         56 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/update-tarifa/update-tarifa.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tarifa/update-tarifa/update-tarifa.component.ts                                                | TypeScript |         78 |          1 |         12 |         91 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/auxiliar/lista-tiposala-selection/lista-tiposala-selection.component.css              | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/auxiliar/lista-tiposala-selection/lista-tiposala-selection.component.html             | HTML       |         38 |          0 |          4 |         42 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/auxiliar/lista-tiposala-selection/lista-tiposala-selection.component.spec.ts          | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/auxiliar/lista-tiposala-selection/lista-tiposala-selection.component.ts               | TypeScript |         65 |          0 |         12 |         77 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/create-tiposala/create-tiposala.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/create-tiposala/create-tiposala.component.html                                        | HTML       |         40 |          0 |          7 |         47 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/create-tiposala/create-tiposala.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/create-tiposala/create-tiposala.component.ts                                          | TypeScript |         75 |          1 |         13 |         89 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/delete-tiposala/delete-tiposala.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/delete-tiposala/delete-tiposala.component.html                                        | HTML       |         50 |          1 |          9 |         60 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/delete-tiposala/delete-tiposala.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/delete-tiposala/delete-tiposala.component.ts                                          | TypeScript |         51 |          0 |         12 |         63 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/get-tiposala/get-tiposala.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/get-tiposala/get-tiposala.component.html                                              | HTML       |         22 |          0 |          1 |         23 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/get-tiposala/get-tiposala.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/get-tiposala/get-tiposala.component.ts                                                | TypeScript |         33 |          0 |          7 |         40 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/plist-tiposala/plist-tiposala.component.css                                           | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/plist-tiposala/plist-tiposala.component.html                                          | HTML       |         69 |         17 |         18 |        104 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/plist-tiposala/plist-tiposala.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/plist-tiposala/plist-tiposala.component.ts                                            | TypeScript |         93 |          2 |         19 |        114 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/update-tiposala/update-tiposala.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/update-tiposala/update-tiposala.component.html                                        | HTML       |         42 |          1 |         10 |         53 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/update-tiposala/update-tiposala.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tiposala/update-tiposala/update-tiposala.component.ts                                          | TypeScript |         75 |          1 |         12 |         88 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tipousuario/auxiliar/lista-tipousuario-selection/lista-tipousuario-selection.component.css     | CSS        |          3 |          0 |          2 |          5 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tipousuario/auxiliar/lista-tipousuario-selection/lista-tipousuario-selection.component.html    | HTML       |         25 |          0 |          5 |         30 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tipousuario/auxiliar/lista-tipousuario-selection/lista-tipousuario-selection.component.spec.ts | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/tipousuario/auxiliar/lista-tipousuario-selection/lista-tipousuario-selection.component.ts      | TypeScript |         57 |          0 |         13 |         70 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/data-table-usuario/data-table-usuario.component.css                           | CSS        |          3 |          0 |          1 |          4 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/data-table-usuario/data-table-usuario.component.html                          | HTML       |         21 |          0 |          2 |         23 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/data-table-usuario/data-table-usuario.component.spec.ts                       | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/data-table-usuario/data-table-usuario.component.ts                            | TypeScript |         27 |          1 |          7 |         35 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/generate-usuario/generate-usuario.component.css                               | CSS        |          6 |          1 |          1 |          8 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/generate-usuario/generate-usuario.component.html                              | HTML       |          9 |          1 |          5 |         15 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/generate-usuario/generate-usuario.component.spec.ts                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/auxiliar/generate-usuario/generate-usuario.component.ts                                | TypeScript |         14 |          0 |          6 |         20 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/create-usuario/create-usuario.component.css                                            | CSS        |         84 |          9 |         16 |        109 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/create-usuario/create-usuario.component.html                                           | HTML       |        227 |          4 |         27 |        258 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/create-usuario/create-usuario.component.spec.ts                                        | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/create-usuario/create-usuario.component.ts                                             | TypeScript |        130 |          1 |         17 |        148 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/delete-usuario/delete-usuario.component.css                                            | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/delete-usuario/delete-usuario.component.html                                           | HTML       |         14 |          0 |          4 |         18 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/delete-usuario/delete-usuario.component.spec.ts                                        | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/delete-usuario/delete-usuario.component.ts                                             | TypeScript |         28 |          6 |          8 |         42 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/get-usuario/get-usuario.component.css                                                  | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/get-usuario/get-usuario.component.html                                                 | HTML       |          7 |          3 |          4 |         14 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/get-usuario/get-usuario.component.spec.ts                                              | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/get-usuario/get-usuario.component.ts                                                   | TypeScript |         33 |          0 |          8 |         41 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/plist-usuario/plist-usuario.component.css                                              | CSS        |        153 |         14 |         31 |        198 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/plist-usuario/plist-usuario.component.html                                             | HTML       |        130 |         36 |         11 |        177 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/plist-usuario/plist-usuario.component.spec.ts                                          | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/plist-usuario/plist-usuario.component.ts                                               | TypeScript |        122 |         15 |         27 |        164 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/update-usuario/update-usuario.component.css                                            | CSS        |         82 |          8 |         16 |        106 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/update-usuario/update-usuario.component.html                                           | HTML       |        192 |         37 |         23 |        252 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/update-usuario/update-usuario.component.spec.ts                                        | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/usuario/update-usuario/update-usuario.component.ts                                             | TypeScript |        124 |          1 |         19 |        144 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/cartelera/cartelera.component.css                                                               | CSS        |         46 |          0 |          7 |         53 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/cartelera/cartelera.component.html                                                              | HTML       |         22 |          9 |          6 |         37 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/cartelera/cartelera.component.spec.ts                                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/cartelera/cartelera.component.ts                                                                | TypeScript |         97 |          5 |         10 |        112 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/pelicula/view-pelicula/view-pelicula.component.css                                              | CSS        |         54 |          0 |          9 |         63 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/pelicula/view-pelicula/view-pelicula.component.html                                             | HTML       |         59 |          3 |         11 |         73 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/pelicula/view-pelicula/view-pelicula.component.spec.ts                                          | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/pelicula/view-pelicula/view-pelicula.component.ts                                               | TypeScript |         43 |          0 |          8 |         51 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/sesiones/get-sesion-pelicula/get-sesion-pelicula.component.css                                  | CSS        |         41 |          0 |          9 |         50 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/sesiones/get-sesion-pelicula/get-sesion-pelicula.component.html                                 | HTML       |         10 |          8 |          4 |         22 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/sesiones/get-sesion-pelicula/get-sesion-pelicula.component.spec.ts                              | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/user/sesiones/get-sesion-pelicula/get-sesion-pelicula.component.ts                                   | TypeScript |        141 |         12 |         13 |        166 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/home/home.component.css                                                                                   | CSS        |        154 |          4 |         24 |        182 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/home/home.component.html                                                                                  | HTML       |         96 |          4 |         17 |        117 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/home/home.component.spec.ts                                                                               | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/home/home.component.ts                                                                                    | TypeScript |         66 |          0 |         10 |         76 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/login/login.component.css                                                                                 | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/login/login.component.html                                                                                | HTML       |         39 |         10 |         12 |         61 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/login/login.component.spec.ts                                                                             | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/login/login.component.ts                                                                                  | TypeScript |         58 |          0 |         10 |         68 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/logout/logout.component.css                                                                               | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/logout/logout.component.html                                                                              | HTML       |         17 |          0 |          3 |         20 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/logout/logout.component.spec.ts                                                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/logout/logout.component.ts                                                                                | TypeScript |         36 |          1 |          8 |         45 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/menu/menu.component.css                                                                                   | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/menu/menu.component.html                                                                                  | HTML       |         42 |          0 |         12 |         54 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/menu/menu.component.spec.ts                                                                               | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/menu/menu.component.ts                                                                                    | TypeScript |         37 |         11 |          8 |         56 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/dropdown-register-page/dropdown-register-page.component.css                                      | CSS        |          7 |          0 |          3 |         10 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/dropdown-register-page/dropdown-register-page.component.html                                     | HTML       |         13 |          0 |          2 |         15 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/dropdown-register-page/dropdown-register-page.component.spec.ts                                  | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/dropdown-register-page/dropdown-register-page.component.ts                                       | TypeScript |         14 |          0 |          6 |         20 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination-unrouted/pagination-unrouted.component.css                                            | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination-unrouted/pagination-unrouted.component.html                                           | HTML       |          9 |          0 |          1 |         10 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination-unrouted/pagination-unrouted.component.spec.ts                                        | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination-unrouted/pagination-unrouted.component.ts                                             | TypeScript |         38 |          0 |         10 |         48 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination/pagination.component.css                                                              | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination/pagination.component.html                                                             | HTML       |          7 |          0 |          1 |          8 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination/pagination.component.spec.ts                                                          | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/pagination/pagination.component.ts                                                               | TypeScript |         26 |          0 |         10 |         36 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/search-unrouted/search-unrouted.component.css                                                    | CSS        |         13 |          0 |          3 |         16 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/search-unrouted/search-unrouted.component.html                                                   | HTML       |         16 |          8 |          3 |         27 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/search-unrouted/search-unrouted.component.spec.ts                                                | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/shared/unrouted/search-unrouted/search-unrouted.component.ts                                                     | TypeScript |         17 |          0 |          6 |         23 |
| /home/luisp/ClientProject/cineClientJWT/src/app/interceptor/auth.interceptor.ts                                                                                            | TypeScript |         29 |          2 |          8 |         39 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Compra-interface.ts                                                                                                  | TypeScript |         40 |          1 |          5 |         46 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Entrada-interface.ts                                                                                                 | TypeScript |         24 |          6 |          6 |         36 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Factura-interface.ts                                                                                                 | TypeScript |         37 |          1 |          4 |         42 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Genero-interface.ts                                                                                                  | TypeScript |         28 |          0 |          5 |         33 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Pelicula-interface.ts                                                                                                | TypeScript |         57 |          1 |          5 |         63 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Sala-interface.ts                                                                                                    | TypeScript |         36 |          2 |          3 |         41 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Sesion-interface.ts                                                                                                  | TypeScript |         41 |          1 |          6 |         48 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Tarifa-interface.ts                                                                                                  | TypeScript |         25 |          0 |          4 |         29 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/TipoSala-interface.ts                                                                                                | TypeScript |         28 |          0 |          5 |         33 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/TipoUsuario-interface.ts                                                                                             | TypeScript |         28 |          0 |          5 |         33 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/Usuario-interface.ts                                                                                                 | TypeScript |         64 |          1 |          7 |         72 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/login-interface.ts                                                                                                   | TypeScript |          5 |          0 |          2 |          7 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/shared-interface.ts                                                                                                  | TypeScript |         28 |          0 |          6 |         34 |
| /home/luisp/ClientProject/cineClientJWT/src/app/model/token-interface.ts                                                                                                   | TypeScript |          9 |          0 |          1 |         10 |
| /home/luisp/ClientProject/cineClientJWT/src/app/pipe/FormatDate.pipe.spec.ts                                                                                               | TypeScript |          8 |          1 |          3 |         12 |
| /home/luisp/ClientProject/cineClientJWT/src/app/pipe/FormatDate.pipe.ts                                                                                                    | TypeScript |         24 |          0 |          5 |         29 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/compra.service.ts                                                                                                  | TypeScript |         56 |          0 |         15 |         71 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/crypto.service.ts                                                                                                  | TypeScript |         11 |          0 |          4 |         15 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/decode.service.ts                                                                                                  | TypeScript |         16 |          0 |          6 |         22 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/entrada.service.ts                                                                                                 | TypeScript |         36 |          0 |         10 |         46 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/factura.service.ts                                                                                                 | TypeScript |         53 |          0 |         14 |         67 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/genero.service.ts                                                                                                  | TypeScript |         48 |          0 |         13 |         61 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/httpoptions.service.ts                                                                                             | TypeScript |         34 |          0 |          6 |         40 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/login.service.ts                                                                                                   | TypeScript |         91 |          0 |         17 |        108 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/pagination.service.ts                                                                                              | TypeScript |         21 |          0 |          4 |         25 |
| /home/luisp/ClientProject/cineClientJWT/src/app/service/pdf.service.ts                                                                                                     | TypeScript |         57 |          1 |         18 |         76 |
