Date : 2023-05-25 13:09:54
Directory : /home/luisp/ClientProject/cineClientJWT/src
Total : 288 files,  11280 codes, 867 comments, 2250 blanks, all 14397 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        164 |      6,831 |        280 |      1,421 |      8,532 |
| HTML       |         62 |      3,369 |        494 |        578 |      4,441 |
| CSS        |         62 |      1,080 |         93 |        251 |      1,424 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/genero/update-genero/update-genero.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/genero/update-genero/update-genero.component.ts                                                | TypeScript |         73 |          1 |         12 |         86 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.css                        | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.html                       | HTML       |         36 |          0 |          1 |         37 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.spec.ts                    | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.ts                         | TypeScript |         25 |          0 |          7 |         32 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.css       | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.html      | HTML       |         41 |          0 |          4 |         45 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.spec.ts   | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.ts        | TypeScript |         83 |          1 |         17 |        101 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.html                                        | HTML       |        133 |         90 |         36 |        259 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.ts                                          | TypeScript |        169 |         34 |         28 |        231 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.html                                        | HTML       |         38 |          1 |          6 |         45 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.ts                                          | TypeScript |         34 |          0 |         10 |         44 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.css                                               | CSS        |         12 |          0 |          3 |         15 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.html                                              | HTML       |         54 |          0 |          2 |         56 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.spec.ts                                           | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.ts                                                | TypeScript |         43 |          0 |          9 |         52 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.css                                           | CSS        |        134 |         37 |         31 |        202 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.html                                          | HTML       |        108 |         93 |         12 |        213 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.spec.ts                                       | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/plist-pelicula/plist-pelicula.component.ts                                            | TypeScript |         86 |          6 |         10 |        102 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.css                                         | CSS        |        108 |          8 |         12 |        128 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.html                                        | HTML       |        160 |          2 |         31 |        193 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.spec.ts                                     | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/update-pelicula/update-pelicula.component.ts                                          | TypeScript |        139 |          3 |         25 |        167 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.css                                    | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.html                                   | HTML       |         20 |          0 |          3 |         23 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.spec.ts                                | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/data-table-sala/data-table-sala.component.ts                                     | TypeScript |         25 |          0 |          6 |         31 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.css                                          | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.html                                         | HTML       |         40 |          1 |          5 |         46 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.spec.ts                                      | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.ts                                           | TypeScript |         83 |          1 |         18 |        102 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.css                                                     | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.html                                                    | HTML       |        114 |         19 |         21 |        154 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.ts                                                      | TypeScript |        107 |          2 |         19 |        128 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.css                                                     | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.html                                                    | HTML       |         37 |          1 |          7 |         45 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.ts                                                      | TypeScript |         34 |          0 |          7 |         41 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.css                                                           | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.html                                                          | HTML       |         31 |          0 |          5 |         36 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.spec.ts                                                       | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.ts                                                            | TypeScript |         33 |          0 |          7 |         40 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.css                                                       | CSS        |        122 |         11 |         26 |        159 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.html                                                      | HTML       |        104 |         75 |          9 |        188 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.spec.ts                                                   | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.ts                                                        | TypeScript |         82 |         10 |         20 |        112 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.css                                                     | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.html                                                    | HTML       |        110 |          4 |         25 |        139 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.spec.ts                                                 | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.ts                                                      | TypeScript |        104 |          1 |         17 |        122 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.css                              | CSS        |          0 |          0 |          1 |          1 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.html                             | HTML       |         20 |          0 |          1 |         21 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.spec.ts                          | TypeScript |         18 |          0 |          6 |         24 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.ts                               | TypeScript |         27 |          0 |          5 |         32 |
| /home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/create-sesion/create-sesion.component.css                                               | CSS        |          0 |          0 |          1 |          1 |
