"filename", "language", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.html", "HTML", 36, 0, 0, 0, 1, 37
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/data-table-pelicula/data-table-pelicula.component.ts", "TypeScript", 0, 25, 0, 0, 7, 32
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.html", "HTML", 41, 0, 0, 0, 4, 45
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/auxiliar/select-plist/select-plist-pelicula/select-plist-pelicula.component.ts", "TypeScript", 0, 83, 0, 1, 17, 101
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.html", "HTML", 133, 0, 0, 90, 36, 259
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/create-pelicula/create-pelicula.component.ts", "TypeScript", 0, 169, 0, 34, 28, 231
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.html", "HTML", 38, 0, 0, 1, 6, 45
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/delete-pelicula/delete-pelicula.component.ts", "TypeScript", 0, 34, 0, 0, 10, 44
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.css", "CSS", 0, 0, 12, 0, 3, 15
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.html", "HTML", 54, 0, 0, 0, 2, 56
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/pelicula/get-pelicula/get-pelicula.component.ts", "TypeScript", 0, 43, 0, 0, 9, 52
